boutique1;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique2;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique3;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique4;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique5;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique6;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique7;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique8;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique9;exemple@email.com;carte de google ;http://de-saint-denis.fr
boutique10;exemple@email.com;carte de google ;http://de-saint-denis.fr
